id,name,slug,area,province_id
1601,Ogan Komering Ulu,ogan-komering-ulu,Kabupaten,16
1602,Ogan Komering Ilir,ogan-komering-ilir,Kabupaten,16
1603,Muara Enim,muara-enim,Kabupaten,16
1604,Lahat,lahat,Kabupaten,16
1605,Musi Rawas,musi-rawas,Kabupaten,16
1606,Musi Banyuasin,musi-banyuasin,Kabupaten,16
1607,Banyuasin,banyuasin,Kabupaten,16
1608,Ogan Komering Ulu Timur,ogan-komering-ulu-timur,Kabupaten,16
1609,Ogan Komering Ulu Selatan,ogan-komering-ulu-selatan,Kabupaten,16
1610,Ogan Ilir,ogan-ilir,Kabupaten,16
1611,Empat Lawang,empat-lawang,Kabupaten,16
1612,Penukal Abab Lematang Ilir,penukal-abab-lematang-ilir,Kabupaten,16
1613,Musi Rawas Utara,musi-rawas-utara,Kabupaten,16
1671,Palembang,palembang,Kota,16
1672,Prabumulih,prabumulih,Kota,16
1673,Pagar Alam,pagar-alam,Kota,16
1674,Lubuk Linggau,lubuk-linggau,Kota,16
